PIGMENT ID;LABLE PICTURE;BOTTLE PICTURE;ARCHIVE ID;SPECIFIC NAME; DESCRIPTION;COLOR;SHADE;STOPPER;GEOGRAPHICAL ORGINS;DATE  OF PRODUCTION;CHEMICAL COMPOSITION;PHISICAL PROPERTIES;DESCRIPTION FOR ARCHIVE SITE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;;;;Luteocobaltichloride;Bright Yellow;Yellow;Medium;Wood;;;[ Co(NH9)6] Cl3;Powder;Small glass jar with a wood andr lid containing yellow pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;;;;CaO 327ml (No name);Water Green;Blue;Medium;Cork;;;CaO 327ml;Powder;Glass jar with a cork stopper containing water blue  pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;;;Nichel green A;Light Green;Green;Light;Cork;;;Ni;Fragments;Glass jar with a cork stopper containing green  pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;;;;Genuine Ultra N.1  102 - Ultramarine 1;Light Blue;Blue;Light;Cork and Fabric;England;January 1924-January 1931;;Fragments;Big glass jar with a cork and fabric stopper containing blue pigment. Two labels present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;;;[M1 -1994];Field's Ultramarine - Field's Ultramarine N. 5;Light Blue;Blue;Light;Metal;England;January 1936;;Powder;Big glass jar with a metal lid containing blue pigment. Two labels present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;;;[M58-1994];Unreadable - Tlc purperine, Fields…madder 27;Red Purple;Purple;Dark;Glass;;;;Fragments;Big glass jar with a glass lid containing red/purple pigment. Two labels present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;;;[M55-1994];Platina Yellow (69);Mustard yellow;Yellow;Light;Cork;England;;;Powder;Small glass jar with a cork stopper containing yellow pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;;;;III;Purple and White Purple;Purple;Light;Plastic;;December 1961;;Fragments;Glass jar with a plastic lid containing pink pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;;;;Yellow ocre from buxton ground solution ;Yellow ocre;Yellow;Light;Cork;;;;Powder;Glass jar with a cork stopper containing yellow pigment. Two labels present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;;;;Brarium Copper Silicate Out Of bottle;Blue;Blue;Medium;Cork;;1945;;Fragments;Glass jar with a cork stopper containing blue pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;;;;Euxanthic acid 15/4 per 20g;Light Yellow;Yellow;Light;Glass;;;;Fragments;Glass jar with a glass lid containing yellow pigment. Two labelspresent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;;;;1/a No Fluente ?;Mauve Pink;Pink;Medium;Plastic;; April 1959;15x5 Al2O3 80g ZnO4yH2O - Yxb Cr2O3 2x5 CaSO4;Fragments;Glass jar with a plastic lid containing pink pigment. Two labelspresent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;;;;MgOAl2O3 [CoOal2O3 ](No name);Bright Blue;Blue;Medium;Glass;;;MgOAl2O3 CoOal2O3;Fragments;Big glass jar with a glass lid containing blue pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;;;;9-1 Na Sulphide from 97% Ethanol;Light Yellow ;Yellow;Light;Cork;;Februry ;;Powder;Small glass test tube containing yelloe pigment, cork stopper. Label present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;;;;Sample I-II Purified Ground, Purest;Light Blue;Blue;Light;Plastic;;;CaOcuO4SiO2;Powder;Glass jar with a plastic lid containing blue pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;;;;Barium Copper Silicate ;Bright Blue;Blue;Medium;Cork;England;;BaCu Silicate;Powder;Glass jar with a cork stopper containing blue pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;;;;Bensch in ...Shake well lid;Light Pink;Pink;Light;Plastic;;;;Powder;Glass jar with a plastic lid containing pink pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;;;;CaO SiO2 Sn02 (No name);Bright Blue;Blue;Medium;Cork ;;;CaO SiO2 Sn02;Fragments;Glass jar with a cork stopper containing blue pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;;;;No name;Light Blue;Blue;Light;Cork and paper;;;;Powder;Glass jar with a cork stopper containing blue pigment. No lable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;;;;Azurite Alderley edge;Light Blue;Blue;Light;Cork;England;;;Fragments;Glass jar with a cork stopper containing blue pigment.Lable present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;;;;A ;Orange Pink;Pink;Light;Cork;England;;Fe2O3 8Al2O3;Powder;Glass jar with a cork stopper containing pink pigment.Lable present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;;;;Chromium aluminium 1:4;Mauve Pink;Pink;Medium;Cork;;;CrAl;Powder;Small glass jar containing pink pigment, cork stopper. Label present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;;;;XI Bittan 1:3;Pinkish Purple;Pink;Light;Wood;;;(CraAl)2 siO4;Fragments;Glass jar with a wood stopper containing pink pigment.Lable present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;;;;Victorian green purified;Light Green;Green;Light;Cork;;;;Fragments;Small glass test tube containing yelloe pigment, cork stopper. Label present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;;;;Cr y Al … H.2;Light Blue;Blue;Light;Glass;;;Cr Al;Powder;Glass jar with a glass lid containing light blue pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;;;;Barium Egyptian Blue;Egyptian Blue;Blue;Medium;Glass;;;Br;Powder;Glass jar with a glass lid containing light blue pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;;;;No name;Pinkish Purple;Purple;Light;Glass;;;;Powder;Glass jar with a glass stopper containing purple pigment. No lable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;;;;No name;Bright Blue;Blue;Medium;Cork;England;;;Powder;Glass jar with a cork stopper containing blue pigment. No lable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;;;;No name;Bright Blue;Blue;Medium;Cork;England;;;Powder;Glass jar with a cork stopper containing blue pigment. No lable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;;;;No name;Light Blue;Blue;Light;Cork;England;;;Powder;Glass jar with a cork stopper containing blue pigment. No lable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;;;;V. Nichel;Bright Blue;Blue;Medium;Glass;;;( caO N2O3 MgOCaO]SnO;Powder;Glass jar with a glass stopper containing blue pigment. Lable present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;;;;2nd Hypo tube;/;/;/;Metal;;1965;Co3Si4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
